City,Height,Weight ,Age,Fit_preference ,Figure_Type ,Body_Shape,Arm_Shape,Abdomen ,Hip ,Critical_Area_Of_Measurement_1,UK_Size,Size_FabIndia,Satisfaction_level ,Size_Class
7,5.1,60,25,3,3,4,1,2,2,1,8,M,,
3,5.7,72,22,4,3,4,2,3,3,1,12,L,4,L
1,5.5,73,31,1,3,7,1,3,2,5,12,L,4,
4,5.3,65,36,4,3,7,1,3,3,4,18,L,5,L
2,5.6,64,42,3,2,1,2,2,3,5,10,S,,
2,,45,21,4,2,1,3,,5,2,10,S,,
10,5.4,,36,3,3,5,1,3,4,1,12,M,,
7,5.3,55,24,4,3,3,1,4,3,2,12,M,,
1,5,,29,4,1,4,3,1,3,1,10,XS,,
1,5.5,70,31,3,2,1,1,2,2,2,14,S,,
10,5.4,55,38,3,2,3,3,3,4,1,10,S,4,S
10,5.5,64,28,2,2,4,2,2,2,2,8,S,,
9,5.3,59,30,1,2,2,2,2,3,1,8,XS,5,S
2,5.5,75,43,3,3,7,1,3,2,1,14,M,3,M
9,5.5,58,36,3,2,5,1,2,4,3,10,M,4,S
2,5.3,54,24,3,3,7,3,1,2,5,10,S,5,S
2,5.6,61,29,3,1,4,2,1,3,1,10,S,2,S
3,5.1,48,27,2,2,3,3,2,3,1,6,S,4,S
9,5.3,53,21,3,2,7,2,2,2,3,12,S,,
1,5.4,80,33,1,4,6,1,4,2,1,14,XL,,XL
1,5.5,78,32,3,3,7,1,2,2,1,14,XL,5,XL
1,5.4,47,31,2,2,3,3,2,5,1,6,XS,4,S
1,5.6,,33,4,4,1,1,4,2,2,,XL,,
9,5.4,53,34,2,1,1,2,1,2,1,6,XS,4,XS
10,5.4,72,34,2,3,5,1,3,3,2,14,L,5,XL
1,5.2,54,40,3,2,2,2,2,5,1,8,S,,
10,5.4,72,34,2,3,5,1,3,3,2,14,L,5,XL
1,5.2,52,31,3,3,1,2,2,4,1,,M,5,M
1,5.4,56,41,1,1,1,2,1,3,5,8,XS,3,XS
5,5.1,50,22,1,2,2,1,2,3,2,6,S,4,S
4,5,63,25,3,3,6,1,2,3,1,14,L,,
2,5.4,64,28,3,3,7,1,3,4,2,14,M,4,M
3,5.5,59,27,3,2,6,3,3,3,1,10,M,3,L
1,5.3,52,26,3,2,1,3,2,2,1,8,XS,5,S
9,5.2,48,29,2,2,7,2,2,3,1,6,XS,3,XS
1,5.5,48,32,3,1,3,3,2,4,3,6,XS,4,XS
4,5.3,64,39,4,3,5,1,3,4,1,,L,3,M
1,5.2,57,36,1,2,4,2,2,3,3,8,S,4,S
9,5.8,60,50,3,1,3,2,1,5,7,10,,,
9,5.3,60,30,3,2,5,2,2,3,1,12,M,5,
1,5.4,61,31,1,2,2,2,2,3,5,12,S,5,S
1,5.2,85,32,3,3,7,1,3,1,1,14,L,,
1,5.2,53,32,3,2,3,2,1,4,4,10,S,,
2,5.2,52,38,3,3,1,1,2,3,3,,M,3,M
7,5.6,62,35,2,2,1,1,2,4,1,8,S,5,XS
1,5.5,65,34,3,1,4,2,1,3,1,8,M,,
1,5.2,60,25,3,3,4,2,2,3,1,,S,,
9,5.2,51,32,2,1,4,2,1,5,4,8,XS,4,S
9,5.3,60,25,2,3,1,1,3,2,1,10,S,4,XS
1,5.6,58,31,3,1,4,2,1,4,3,8,M,4,
2,5.6,55,26,3,1,4,1,2,4,1,8,S,5,S
9,5.7,58,24,2,1,4,3,1,4,5,6,XS,4,
10,5.4,68,33,2,3,4,1,2,3,5,,XL,5,XL
9,5.5,69,37,3,3,1,2,2,3,,,M,5,M
1,5.3,62,31,2,2,3,2,2,5,1,10,L,,
1,5.5,,27,3,3,7,1,3,2,1,,M,3,M
1,5.2,59,33,3,3,5,2,3,4,5,8,S,5,S
1,5.2,54,29,3,2,5,3,2,4,3,8,S,5,S
2,5.6,72,36,3,3,7,2,3,2,2,12,M,3,M
1,5.4,60,34,3,2,1,1,3,5,1,8,M,4,M
1,5.3,72,28,3,3,1,1,2,2,2,14,L,4,L
9,5.4,54,25,3,1,1,2,1,2,4,4,S,,
5,5.4,66,28,3,3,6,2,3,4,1,10,M,4,M
,,,,3,2,2,2,2,4,2,,S,,S
9,5.6,53,33,3,1,3,2,1,5,1,6,XS,,
1,5.2,75,31,3,3,7,1,3,2,3,14,XL,,
9,4.11,47.5,25,3,1,4,3,1,3,1,,XS,,
1,5.4,72,44,3,3,6,1,2,4,1,12,M,5,L
1,5.3,72,28,3,3,1,1,2,2,2,14,L,4,L
1,5.4,60,34,3,2,1,1,3,5,1,12,M,4,M
1,5.3,60,25,2,3,6,1,2,3,1,12,M,,
1,5,50,26,,2,2,2,2,4,2,8,S,5,S
1,5.3,60,31,3,3,7,2,2,3,1,10,M,4,M
1,5.3,60,31,3,3,4,1,3,4,1,,M,,
1,5.6,52,25,3,1,3,2,1,5,3,36,XS,5,XS
9,5.3,65,40,3,3,4,1,2,2,1,10,M,,
